Ind;LOC;Morpho;MLL;Repro;Hab;Area;LifSta;IntGen;Geno
BRT1_R14;M;EN;46;C;BR;63,93;SA;HO;GO
BRT1_R15;M;EN;46;C;BR;253,88;A;HO;GO
BRT1_R16;M;EN;46;C;BR;303,28;A;HO;GO
BRT1_R17;M;EN;46;C;BR;140,08;A;HO;GO
BRT1_R18;M;EN;46;C;BR;113,39;SA;HO;GO
MDT1_R17;M;EN;46;C;MD;73,28;SA;HO;GO
UPT1_L10;M;ST;46;C;UP;50,5;SA;HO;GO
UPT1_L11;M;ST;46;C;UP;57,5;SA;HO;GO
UPT1_L4;M;EN;46;C;UP;6,99;J;HO;GO
UPT1_L6;M;ST;46;C;UP;275,35;A;HO;GO
UPT1_L7;M;ST;46;C;UP;244,81;A;HO;GO
UPT1_L8;M;ST;46;C;UP;70,79;SA;HO;GO
UPT1_R1;M;ST;46;C;UP;1281,3;MA;HO;GO
UPT1_R10;M;ST;46;C;UP;388,77;A;HO;GO
UPT1_R12;M;ST;46;C;UP;2962,31;MA;HO;GO
UPT1_R13;M;ST;46;C;UP;155,18;A;HO;GO
UPT1_R14;M;ST;46;C;UP;204,86;A;HO;GO
UPT1_R15;M;ST;46;C;UP;251,97;A;HO;GO
UPT1_R16;M;ST;46;C;UP;51,28;SA;HO;GO
UPT1_R17;M;ST;46;C;UP;122,87;SA;HO;GO
UPT1_R19;M;EN;46;C;UP;86,94;SA;HO;GO
UPT1_R2;M;ST;46;C;UP;882,94;A;HO;GO
UPT1_R20;M;ST;46;C;UP;282,52;A;HO;GO
UPT1_R21;M;ST;46;C;UP;1808,1;MA;HO;GO
UPT1_R22;M;ST;46;C;UP;2323,34;MA;HO;GO
UPT1_R23;M;ST;46;C;UP;13831,68;MA;HO;GO
UPT1_R24;M;ST;46;C;UP;104,05;SA;HO;GO
UPT1_R25;M;ST;46;C;UP;138,54;A;HO;GO
UPT1_R26;M;ST;46;C;UP;50,79;SA;HO;GO
UPT1_R27;M;EN;46;C;UP;60,42;SA;HO;GO
UPT1_R28;M;ST;46;C;UP;261,44;A;HO;GO
UPT1_R29;M;ST;46;C;UP;1344,64;MA;HO;GO
UPT1_R30;M;ST;46;C;UP;79,84;SA;HO;GO
UPT1_R5;M;ST;46;C;UP;158,95;A;HO;GO
UPT1_R6;M;ST;46;C;UP;582,73;A;HO;GO
UPT1_R7;M;ST;46;C;UP;568,54;A;HO;GO
UPT1_R8;M;ST;46;C;UP;5768,85;MA;HO;GO
UPT1_R9;M;ST;46;C;UP;450,43;A;HO;GO
MDT1_R42;M;EN;49;C;MD;50;SA;HO;GO
BRT1_R26;M;EN;49;C;BR;50,19;SA;HO;GO
UPT1_L30;M;ST;49;C;UP;51,2;SA;HO;GO
MDT1_R43;M;EN;49;C;MD;71,59;SA;HO;GO
MDT1_R55;M;EN;49;C;MD;84;SA;HO;GO
MDT1_R46;M;EN;49;C;MD;141,62;A;HO;GO
BRT1_R25;M;EN;49;C;BR;186,55;A;HO;GO
UPT1_R57;M;ST;49;C;UP;206,02;A;HO;GO
MDT1_R45;M;EN;49;C;MD;329,09;A;HO;GO
MDT1_R52;M;EN;49;C;MD;368,02;A;HO;GO
MDT1_R51;M;EN;49;C;MD;423,42;A;HO;GO
UPT1_L36;M;ST;49;C;UP;1264,75;MA;HO;GO
UPT1_L29;M;ST;49;C;UP;1477,86;MA;HO;GO
MDT1_R56;M;MA;49;C;MD;1528,28;MA;HO;GO
MDT1_R57;M;MA;49;C;MD;4419,31;MA;HO;GO
MDT1_R44;M;MA;49;C;MD;5474,92;MA;HO;GO
UPT2_L88;M;EN;174;C;UP;6,42;J;HO;GO
UPT2_L81;M;EN;174;C;UP;6,76;J;HO;GO
UPT2_R129;M;EN;174;C;UP;7,8;J;HO;GO
UPT2_R115;M;EN;174;C;UP;8,86;J;HO;GO
UPT2_L80;M;EN;174;C;UP;9,83;J;HO;GO
BRT2_L29;M;EN;174;C;BR;50,01;SA;HO;GO
UPT2_R126;M;EN;174;C;UP;50,2;SA;HO;GO
BRT2_L24;M;EN;174;C;BR;50,38;SA;HO;GO
UPT2_R119;M;EN;174;C;UP;6,18;J;HO;GO
UPT2_R139;M;EN;174;C;UP;50,4;SA;HO;GO
UPT2_R105;M;ST;174;C;UP;51,75;SA;HO;GO
UPT2_R110;M;ST;174;C;UP;54,24;SA;HO;GO
BRT2_L35;M;EN;174;C;BR;61,19;SA;HO;GO
UPT2_R143;M;ST;174;C;UP;64,42;SA;HO;GO
UPT2_R133;M;ST;174;C;UP;69,7;SA;HO;GO
UPT2_R118;M;ST;174;C;UP;96,21;SA;HO;GO
UPT2_L79;M;ST;174;C;UP;98,43;SA;HO;GO
UPT2_R122;M;ST;174;C;UP;100,47;SA;HO;GO
UPT2_R142;M;ST;174;C;UP;102,56;SA;HO;GO
UPT2_R107;M;ST;174;C;UP;115,28;SA;HO;GO
UPT2_L90;M;ST;174;C;UP;126,02;A;HO;GO
UPT2_R113;M;ST;174;C;UP;147,1;A;HO;GO
UPT2_R117;M;ST;174;C;UP;151,36;A;HO;GO
UPT2_R108;M;ST;174;C;UP;160,05;A;HO;GO
BRT2_R36;M;EN;174;C;BR;164,01;A;HO;GO
UPT2_L83;M;ST;174;C;UP;193,28;A;HO;GO
UPT2_R137;M;ST;174;C;UP;194,91;A;HO;GO
UPT2_L85;M;ST;174;C;UP;226,68;A;HO;GO
UPT2_R136;M;ST;174;C;UP;231,98;A;HO;GO
BRT2_R22;M;EN;174;C;BR;250,18;A;HO;GO
UPT2_L93;M;ST;174;C;UP;322,22;A;HO;GO
UPT2_L78;M;ST;174;C;UP;405,57;A;HO;GO
UPT2_L82;M;ST;174;C;UP;418,64;A;HO;GO
UPT2_R134;M;ST;174;C;UP;632,33;A;HO;GO
UPT2_R138;M;ST;174;C;UP;979,49;A;HO;GO
UPT2_L91;M;ST;174;C;UP;1542,37;MA;HO;GO
UPT2_L92;M;ST;174;C;UP;3088,28;MA;HO;GO
UPT3_R70;M;EN;268;C;UP;6,66;J;HO;GO
UPT3_R71;M;EN;268;C;UP;7,42;J;HO;GO
UPT3_L34;M;EN;268;C;UP;7,84;J;HO;GO
UPT3_R41;M;EN;268;C;UP;8,56;J;HO;GO
BRT3_R33;M;EN;268;C;BR;50,02;SA;HO;GO
BRT3_R23;M;EN;268;C;BR;50,09;SA;HO;GO
